sigma_ab,sigma_gb,p95_horiz_error
0.0001,1e-05,31.282
0.0001,1e-06,31.832
0.0001,1e-07,31.832
1e-05,1e-05,33.755
1e-05,1e-06,29.941
1e-05,1e-07,29.939
1e-06,1e-05,33.756
1e-06,1e-06,29.941
1e-06,1e-07,29.94
